Actual,Predictied,MSE,MAE,Psuedo_r2
2.0366598778004072,0.6398205098183714,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
-0.3468208092485549,0.8701536566732379,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
0.7801418439716312,1.4299966283966556,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
0.7118311242022582,0.8804020389087206,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
0.7748857540234453,0.5097603701852971,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
0.7984031936127743,0.558725389239357,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
3.6194895591647334,1.1481405140943302,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
1.3370865587614356,1.2356759094142062,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
-3.704606385571533,0.807213603344951,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
2.602523659305994,1.3551967430134988,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
-0.39603960396039606,0.39915214668029675,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
3.1347962382445136,1.2941753163222733,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
3.958333333333333,1.218590337262485,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
-1.2655024044545684,1.6145454106924615,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
-0.2690238278247502,0.9714732366311014,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
0.9145129224652087,0.040385314434920654,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
0.21710811984368217,0.8030217678265876,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
-0.6012024048096193,0.8324188369595227,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
1.9482184055370415,0.6125085011086945,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
2.678227360308285,0.40843743232012264,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
-2.955082742316785,0.04751523163306249,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
-2.166377816291161,1.2452875086750874,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
-1.478494623655914,1.8037076009443764,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
1.5338194619059593,1.3076365668761822,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
-4.316006755488835,1.1644442345862258,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
4.993909866017052,0.6056567165707093,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
3.731178033658104,0.7061601640713642,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
4.911323328785812,0.9804423836540869,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
0.9162951956414067,2.500899653681014,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
2.4612669150813886,0.889511214746738,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
0.7347254447022429,0.6921141223674071,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
4.696338990287117,0.6659339097272783,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
-4.746423927178153,1.0920691602221704,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
1.3742331288343559,2.106141582738479,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
1.732223179251603,1.1313044151559726,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
0.7677543186180422,0.4935338600522169,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
1.0092771944132939,0.5558161117625857,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
2.6621160409556315,1.5661460437409878,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
-6.318082788671024,-0.0035763884085613204,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
1.5804327375352776,1.1946023788466757,6.664730427796321,1.9484037184036571,-1.0243139051713257e-4
