Local Authority Code,Local Authority Name,NGA Availability (% premises) by Local Authority,SFBB Availability (% premises) by Local Authority,UFBB Availability (% premises) by Local Authority,Take-up of lines < 2 Mbit/s (number of lines) by Local Authority,Take-up of Lines 2-5 Mbit/s (number of lines) by Local Authority,Take-up of Lines 5-10 Mbit/s (number of lines) by Local Authority,Take-up of Lines 10-30 Mbit/s (number of lines) by Local Authority,Take-up of lines > 30 Mbit/s (number of lines) by Local Authority,Take-up of lines > 300 Mbit/s (number of lines) by Local Authority,Average data downloaded by Local Authority (GB),Average data uploaded by Local Authority (GB),Average download speed (Mbit/s) by Local Authority,Median download speed (Mbit/s) by Local Authority,Minimum download speed (Mbit/s) by Local Authority,Maximum download speed (Mbit/s) by Local Authority,Average download speed (Mbit/s) for NGA lines by Local Authority,Average download speed (Mbit/s) for non-NGA lines by Local Authority,Average download speed (Mbit/s) for Superfast BB lines by Local Authority,Average download speed (Mbit/s) for Ultrafast BB lines by Local Authority,Average download speed (Mbit/s) for basic BB (non-SF) lines by Local Authority,Average upload speed (Mbit/s) by Local Authority,Median upload speed (Mbit/s) by Local Authority,Minimum upload speed (Mbit/s) by Local Authority ,Maximum upload speed (Mbit/s) by Local Authority ,Average upload speed (Mbit/s) for NGA lines by Local Authority ,Average upload speed (Mbit/s) for non-NGA lines by Local Authority ,Average upload speed (Mbit/s) for Superfast BB lines by Local Authority ,Average upload speed (Mbit/s) for Ultrafast BB lines by Local Authority ,Average upload speed (Mbit/s) for basic BB (non-SF) lines by Local Authority ,% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s
00-NL,Wrecsam - Wrexham,94,79,6,2785,8050,12579,12672,9732,,63.2,11,17.4,9.7,0.1,80,42.5,8.8,47.4,,9.3,3.2,1,0,20,9.6,0.9,10.9,,1.1,1,4,7
00-NN,Powys - Powys,75,39,17,5485,7579,16981,13286,2474,,49,7.1,11.2,8.1,0.1,80,43,9,49.4,,9,1.5,0.9,0,20,10.2,0.8,11.8,,0.8,6,12,30
00-NQ,Sir Ceredigion - Ceredigion,78,42,21,3583,4729,8647,5166,2407,,51.6,8.5,11.9,7.4,0.2,80,43.5,7.7,49.1,,7.9,2.1,0.8,0,20,10.4,0.7,11.8,,0.8,6,12,29
00-NS,Sir Benfro - Pembrokeshire,72,54,4,4685,7508,13116,11625,5383,,56,8,14,8.1,0.2,220,44.3,8.8,48.9,,8.9,2.4,1,0,20,10.3,0.8,11.4,,0.9,5,11,29
00-NU,Sir Gaerfyrddin - Carmarthenshire,54,37,7,7660,12685,19274,17857,3945,,58.8,8.3,11,7.9,0.1,80,43.1,8.4,47.9,,8.5,1.5,0.9,0,66,9.5,0.8,10.6,,0.9,4,13,33
00-NX,Abertawe - Swansea,96,91,2,3137,7701,13417,23274,37254,<4,73.7,9.3,37.5,20,0.1,330,65.7,10.5,71,<4,11.2,3.6,1.3,0,30,6.3,1,6.8,<4,1.1,0,1,2
00-NZ,Castell-nedd Port Talbot - Neath Port Talbot,94,87,2,2332,5733,8762,13452,17849,,74.9,9.3,33.8,18,0.1,152,67,9.9,73.4,,10.5,3.2,1.2,0.1,20,6.2,0.9,6.7,,1.1,1,3,5
00-PB,Pen-y-bont ar Ogwr - Bridgend,94,85,1,3058,8046,11315,14717,11056,,67,10.2,18.6,11.5,0.1,220,43.9,9.5,47.9,,9.8,3.3,1,0,20,9.8,0.9,10.8,,1.1,1,2,4
00-PD,Bro Morgannwg - the Vale of Glamorgan,93,86,3,2161,4774,8853,13001,16992,,70.1,8.9,31.3,17.7,0.1,152,61.3,10.2,66.3,,10.6,3.7,1.2,0,20,7.6,0.9,8.1,,1.1,1,3,5
00-PF,Rhondda Cynon Taf - Rhondda Cynon Taff,96,90,1,5728,13119,18341,22389,18588,,73.5,10,19.9,11,0.1,152,48.9,9.1,53.3,,9.5,3.2,1.1,0,20,9.2,0.9,9.9,,1,1,1,3
00-PH,Merthyr Tudful - Merthyr Tydfil,33,28,2,1240,3857,5701,4976,3140,<4,77.7,10.9,15.4,8.1,0.1,330,44.9,8.6,48.7,<4,8.8,2.7,1,0.1,30,10.4,0.9,11.2,<4,1,0,14,40
00-PK,Caerffili - Caerphilly,94,85,1,4156,10684,15232,16467,11903,,70.9,10.2,17.2,9.4,0.1,152,43.7,9,47.9,,9.3,3,1,0,40,9.8,0.9,10.8,,1,1,2,5
00-PL,Blaenau Gwent - Blaenau Gwent,100,94,1,852,2833,4748,9609,4035,<4,76.3,10.2,18.6,14.3,0.2,330,44,11.7,48.5,<4,11.9,2.9,1.1,0,30,9.7,1,10.8,<4,1.1,0,0,1
00-PM,Tor-faen - Torfaen,90,85,1,2137,5511,8995,7068,7556,,73.7,9.2,21.9,9,0.2,152,58.8,8.2,63.9,,8.5,2.8,1,0,20,7.7,0.9,8.3,,1,1,2,6
00-PP,Sir Fynwy - Monmouthshire,79,61,6,2412,4673,9577,10770,4986,,56,8.1,15.8,9.5,0.2,80,43.9,9.6,49.2,,9.8,2.7,1,0,20,10.1,0.9,11.4,,1,4,8,20
00-PR,Casnewydd - Newport,86,82,2,1981,5570,9632,11247,22116,4,78.3,10.4,35.8,20,0.1,330,64.4,9.3,69,330,9.9,3.7,1.3,0,40,6.7,1,7.1,30,1.1,0,2,10
00-PT,Caerdydd - Cardiff,95,92,1,4878,13453,19929,23292,60001,,82.8,11.3,38.4,24,0.2,152,63.8,8.8,67.9,,9.6,4,2,0,20,6.6,1,7,,1.1,0,1,2
00-QA,Aberdeen City,93,83,0,3209,9238,22285,36430,19666,,75.2,11.1,19.5,13.3,0,80,45.9,10.8,50,,11.1,3.5,1.1,0,20,11,1,12,,1.1,0,1,3
00-QB,Aberdeenshire,82,52,4,7178,11853,31655,31186,11896,,66.1,8.5,14.9,8.3,0.2,80,43.1,9.8,48.5,,10,2.5,1,0,20,10.3,0.9,11.7,,1,5,10,24
00-QC,Angus,83,63,2,2243,4475,11549,15970,8385,,68.6,8.3,20.5,13.1,0.1,152,53,10.8,59,,11.1,2.7,1.1,0,20,8.4,0.9,9.3,,1,2,6,19
00-QD,Argyll and Bute,41,21,3,2834,5200,19997,3741,881,,50.4,7,8.5,7.5,0.2,80,43.2,7.3,48.9,,7.3,1,0.5,0.1,20,10.1,0.6,11.5,,0.6,7,13,70
00-QE,Scottish Borders,81,52,5,2695,4466,13953,14914,6874,,52.1,7.8,16.6,10.4,0.1,220,44.2,10.4,47.9,,10.6,2.7,1,0,20,10.2,0.8,11,,0.9,3,7,24
00-QF,Clackmannanshire,75,67,1,1447,3346,3780,6755,3274,,68.6,9.7,16.8,11.7,0.2,80,42.2,9.9,47.5,,10.2,2.8,1,0,20,9.5,0.9,10.8,,1,0,3,8
00-QG,West Dunbartonshire,94,93,0,609,1858,5520,9319,16816,,72.6,7.6,45.7,23.6,0.2,152,74.9,11.1,80.5,,11.8,3.5,2,0,20,5.6,1,5.9,,1.1,0,0,2
00-QH,Dumfries and Galloway,86,55,5,3858,6998,19236,15894,6915,,54,7.4,14.6,8.1,0.1,80,41.5,9.4,47,,9.7,2.3,1,0,20,9.6,0.8,11,,0.9,3,7,25
00-QJ,Dundee City,96,94,0,1082,2944,7692,17091,28186,,86,11.6,43.3,24,0.1,152,69.7,12.1,74.5,,12.7,3.9,2,0,20,6.3,1,6.6,,1.2,0,0,1
00-QK,East Ayrshire,83,70,1,3000,7735,9728,13189,7376,,68,9.3,16.6,10.1,0.2,152,43.6,9.4,47.9,,9.7,2.7,1,0,20,9.5,0.9,10.4,,1,1,4,10
00-QL,East Dunbartonshire,91,83,1,1252,3365,7208,11881,15365,,71.6,7.9,38.2,19.7,0.2,152,73.1,10.6,79.8,,11.3,3.1,1.3,0,20,5.8,1,6.2,,1.1,1,4,8
00-QM,East Lothian,74,57,0,1443,3534,9897,17097,5010,,71.6,8.8,16.6,12.9,0.1,80,43.8,11.4,48.4,,11.6,2.5,1.1,0,20,10.1,0.9,11.2,,1,1,4,13
00-QN,East Renfrewshire,93,82,1,728,2036,6531,10303,12814,,72.4,8.4,36.6,19.1,0.1,152,67.7,10.9,74.6,,11.7,3.5,1.3,0,20,6.5,1,7,,1.1,0,1,4
00-QP,City of Edinburgh,90,88,0,3151,9515,28925,69050,91531,,77.5,10.6,39.6,20.7,0.1,152,66.6,12.3,71.8,,12.9,3.5,2,0,20,5.9,1,6.3,,1.1,0,1,4
00-QQ,Falkirk,91,87,0,1624,5121,12168,13258,26474,,75.4,8.7,41.1,20,0.1,152,72.2,9.5,78.4,,10.4,3.5,2,0,20,5.8,1,6.2,,1.1,0,1,7
00-QR,Fife,86,74,1,5752,14741,32310,44088,38512,,73.3,9.4,26.3,15.3,0.1,152,59.7,10.5,65,,10.9,3.2,1.2,0,20,7.7,0.9,8.2,,1.1,1,2,11
00-QS,Glasgow City,90,80,1,6763,18059,47647,82141,64072,4,82.5,11,28.5,16,0.2,330,64.8,11.4,69.2,330,11.6,3,1.1,0,30,7.2,1,7.6,30,1,0,1,5
00-QT,Highland,78,43,4,7692,13477,33700,20667,11152,,60.8,8.3,13.7,8.1,0.1,80,42.4,8.4,47.9,,8.7,2.4,0.9,0,20,9.9,0.8,11.2,,0.9,7,12,37
00-QU,Inverclyde,87,79,0,703,2077,4712,8454,12354,,80.9,10.2,40.2,20.2,0.2,152,70.5,11.4,76.5,,12,3.3,1.3,0,20,5.7,1,6.1,,1.1,0,3,9
00-QW,Midlothian,84,66,2,3208,6475,7120,8849,5488,,65.3,9.2,15.7,8.5,0.1,80,42.3,8.5,47.2,,8.9,2.8,1,0,20,9.6,0.9,10.8,,1,2,9,16
00-QX,Moray,86,60,2,2253,4817,10031,11883,5309,,60.4,8.1,16.2,10.1,0.1,80,43.4,10.1,48.3,,10.3,2.7,1,0,20,10.2,0.9,11.4,,1,3,7,17
00-QY,North Ayrshire,82,65,2,1769,5226,14241,20334,8479,,72.1,9.5,20.6,12.4,0.1,152,60.5,10.9,66.7,,11.2,2.5,1.1,0,20,8.9,1,9.7,,1.1,1,2,13
00-QZ,North Lanarkshire,89,84,1,6001,14592,20832,29405,48061,,83.8,9.1,36.9,19.1,0.1,152,70.5,9.3,76.4,,10,3.3,1.3,0,20,6.3,0.9,6.7,,1,1,3,6
00-RA,Orkney Islands,54,19,17,909,1150,3447,2416,201,,51.9,6.2,9.9,8.1,0.1,80,43.2,8.9,49.5,,8.9,1.1,0.6,0,20,10.9,0.7,12.4,,0.8,11,18,53
00-RB,Perth and Kinross,75,52,2,3261,5591,15251,18362,13061,,59.4,7.8,24.3,13.9,0.1,152,60.6,10.5,67.8,,10.9,2.6,1.1,0,20,6.9,0.8,7.6,,1,3,7,25
00-RC,Renfrewshire,88,79,2,2199,6143,13612,19393,23569,,77.9,9.4,35.4,17.2,0.2,152,72.5,10.3,78.6,,10.8,3,1.2,0,20,6.1,0.9,6.5,,1,0,3,9
00-RD,Shetland Islands,73,30,4,920,1206,4224,1359,826,,56.4,8.2,12,8,0.2,80,44.7,7.7,50.5,,7.9,2.2,0.5,0.1,20,11,0.7,12.5,,0.8,10,18,56
00-RE,South Ayrshire,86,73,0,2067,5390,12843,12950,8029,,62.4,8.7,19.2,10.3,0.1,152,50.7,9.8,56.7,,10.2,2.8,1,0,20,9,0.9,9.9,,1,1,4,15
00-RF,South Lanarkshire,91,83,1,6271,13297,24738,28421,43268,,74.5,8.6,33.5,16.7,0.1,152,67.3,9.2,73.4,,9.8,3.3,1.2,0,20,6.6,0.9,7.1,,1,1,4,10
00-RG,Stirling,89,68,2,1912,4283,10962,8708,6165,,61.7,9.3,16.7,8.3,0.1,80,41.6,9.1,46.9,,9.5,3,1,0,20,9.4,0.9,10.7,,1,2,4,21
00-RH,West Lothian,82,69,1,2563,8404,14734,21427,17300,,81.3,9.7,26.6,14.3,0.1,220,64.7,10.3,70.2,,10.6,2.8,1.2,0,20,7.1,1,7.6,,1.1,1,3,10
00-RJ,Na H-Eileanan an Iar,39,0,10,1214,1523,4835,7,2,,46.1,6.8,5.6,6.5,0.2,46,31.8,5.6,42.3,,5.6,0.5,0.5,0.1,10,5.3,0.5,8.4,,0.5,14,26,89
11-00,Buckinghamshire County,89,80,1,9323,23408,40176,51798,61895,<4,63.7,10,26.1,15.5,0.1,330,52.5,9.7,58.1,<4,10.3,4.1,1.2,0,30,9,0.9,9.9,<4,1.1,1,4,10
12-00,Cambridgeshire County,94,82,2,12081,23266,41384,64647,88176,40,69.8,10,30.6,19,0.1,330,56,10,62.2,330,10.9,3.9,1.3,0,40,7.3,0.9,8.1,30,1.1,1,3,7
16-00,Cumbria County,83,71,1,15892,29336,50181,53425,31964,,57.3,8.3,16.8,8.8,0.1,220,47.3,9.2,51.1,,9.4,2.9,1,0,20,10.3,0.9,11.2,,0.9,3,7,20
17-00,Derbyshire County,90,74,0,16969,41721,63664,85894,63820,,60.4,9.5,20.9,12.2,0.1,152,50.6,9.6,56.3,,10.1,3,1.1,0,20,8.4,0.9,9.3,,1.1,1,4,9
18-00,Devon County,78,57,6,21492,42793,76420,89511,56608,<4,54.1,8.2,19.4,10.5,0.1,330,52.2,9.6,58.1,<4,9.9,2.6,1,0,30,8.1,0.9,9,<4,1,2,8,21
19-00,Dorset County,87,70,1,11164,23357,39755,53362,32190,,50.5,7.7,18.5,11.5,0.1,152,45,9.7,51.5,,10.1,3,1,0,20,8.9,0.9,10.2,,1.1,2,7,15
21-00,East Sussex County,94,82,1,9763,24925,51314,67169,44078,<4,61.5,9.9,19,12.4,0.1,330,43.5,10.1,48.7,<4,10.5,3.5,1.1,0,30,10.2,0.9,11.5,<4,1.1,1,3,7
22-00,Essex County,83,76,0,29236,65258,109849,149898,161483,<4,67.9,9.4,26.5,14.9,0,330,56.4,9.7,62.2,<4,10.2,3.5,1.2,0,30,8.1,0.9,8.8,<4,1.1,1,4,11
23-00,Gloucestershire County,77,67,2,15480,32246,52151,61334,69721,7,61.1,8.8,26.3,13.5,0.1,330,59.5,9.1,64.9,330,9.6,3.2,1.1,0,30,7.4,0.9,8,30,1,2,6,16
24-00,Hampshire County,90,82,1,22025,53585,99887,132719,187969,6,61.4,8.5,31.3,17.7,0.1,330,59.9,9.7,65.7,330,10.4,3.8,1.2,0,30,7.6,0.9,8.2,30,1.1,1,3,9
26-00,Hertfordshire County,91,88,0,16318,40182,69730,97602,192464,,73.7,10.1,37.5,21,0.1,152,62.6,9.6,68.8,,10.6,4.2,2,0,20,7.1,0.9,7.7,,1.2,0,2,5
29-00,Kent County,89,82,0,28876,66920,113790,157605,157366,<4,69.7,9.5,25.4,14.5,0.1,330,55,9.8,60.7,<4,10.3,3.6,1.1,0,40,8.5,0.9,9.3,<4,1.1,1,4,9
30-00,Lancashire County,95,87,1,19539,48178,86686,130589,126940,,69.5,10.4,26.4,15.4,0.1,220,56.5,10.2,61.7,,10.7,3.4,1.2,0,40,7.8,0.9,8.4,,1.1,1,2,4
31-00,Leicestershire County,93,84,0,11484,27770,44659,67594,85958,,66.2,8.9,30,17.6,0.1,152,59,10,64.3,,10.6,3.5,1.2,0,20,7.1,0.9,7.7,,1.1,1,3,7
32-00,Lincolnshire County,86,72,1,18722,35224,59344,72837,74462,,62.6,9.2,23.9,13.5,0.1,152,53.4,9.3,59,,9.8,3.3,1.1,0,40,7.8,0.9,8.6,,1,3,7,16
33-00,Norfolk County,86,72,0,21873,45113,77501,96638,80756,,61.9,8.6,21.9,12.5,0.1,152,51,9.5,57.2,,10,3.1,1.1,0,20,7.9,0.9,8.8,,1,2,6,16
34-00,Northamptonshire County,89,84,2,13421,28617,52018,72414,93673,4,77.1,10.5,30.2,16.9,0.1,330,60.5,9.9,65.5,330,10.4,3.6,1.2,0,30,7.6,0.9,8.1,30,1.1,1,3,8
36-00,North Yorkshire County,93,77,2,14463,26030,48516,68990,59830,12,55.7,8.9,22.5,14.3,0.1,330,48.7,10.1,54.3,330,10.5,3.7,1.1,0,40,9.2,0.9,10.3,30,1,4,7,12
37-00,Nottinghamshire County,95,88,0,14013,30926,47286,70107,120526,,67.5,9.1,34.9,20,0.1,152,62.1,9.5,67.9,,10.4,3.6,1.3,0,20,6.3,0.9,6.8,,1.1,1,3,6
38-00,Oxfordshire County,87,77,4,10945,28243,49624,66667,81535,24,70.5,10.7,28,16.3,0.1,330,56.9,9.9,61.6,330,10.4,3.9,1.2,0,30,8.6,0.9,9.2,30,1.1,1,3,9
40-00,Somerset County,73,59,2,14271,35185,55131,62926,34231,<4,56.7,8.6,16.6,9.3,0.1,330,46.3,9.4,50.9,<4,9.6,2.7,1,0,80,9.7,0.9,10.7,<4,1,2,8,20
41-00,Staffordshire County,90,80,1,17812,38858,70771,76986,88694,<4,65.2,9.5,25.4,13.2,0.1,330,56.3,9.1,61.8,<4,9.6,3.3,1.1,0,80,7.7,0.9,8.3,<4,1,1,3,10
42-00,Suffolk County,89,77,1,20224,36101,60041,75709,76765,5,64,8.8,23.1,13.7,0.1,330,50.4,9.3,56.2,330,9.9,3.6,1.1,0,30,8.6,0.9,9.5,30,1.1,2,5,13
43-00,Surrey County,98,89,4,14352,39593,73983,108962,190922,62,68.2,10.1,35.4,20.3,0.1,330,59.3,9.9,65.7,330,10.9,4.6,1.9,0,30,8,1,8.8,30,1.2,0,1,2
44-00,Warwickshire County,90,83,0,12228,27336,37419,51629,74614,<4,67.3,9.7,29.4,17,0.1,330,57.8,9.3,63,<4,9.9,3.8,1.2,0,40,7.9,0.9,8.5,<4,1.1,1,4,9
45-00,West Sussex County,96,87,1,12998,30775,68506,89179,106196,19,66.7,9.6,27.3,16.1,0.1,330,53.3,10,59,330,10.6,4,1.2,0,80,8.5,0.9,9.3,30,1.1,1,2,6
47-00,Worcestershire County,90,80,0,12582,32983,50008,47698,62121,,63.5,9.6,24,11.8,0.1,220,53.5,8.6,58.6,,9.1,3.6,1.1,0,20,8.5,0.9,9.3,,1.1,1,4,10
95-AJ,Derry And Strabane,98,82,0,2775,4336,7464,10693,17992,,79.1,9.9,28.8,19.2,0.1,152,49.6,9.4,54.9,,10.2,4.6,1.3,0,20,8.3,1,9.2,,1.1,4,7,9
95-BCDE,Causeway Coast And Glens,93,70,0,4076,4373,7746,10908,15148,,60.5,8.3,23.7,16.2,0,80,42.8,9,48.5,,9.8,4.9,1.2,0,20,9.6,0.9,11.1,,1.1,8,13,19
95-FGV,Mid And East Antrim,87,69,0,3744,5826,8777,11330,13164,<4,60.6,8.8,21.8,13.9,0.1,330,44.2,9.1,49.1,<4,9.6,4.3,1.2,0,30,10,0.9,11.3,<4,1.1,6,10,17
95-HIM,Mid Ulster,94,55,0,4967,4870,7002,9606,12297,,58.4,8.8,21.5,14,0.1,80,39.1,8,48.2,,9.2,4.5,1.2,0,66,8.5,0.8,10.9,,1.1,14,21,30
95-LK,Fermanagh And Omagh,91,50,0,4667,4162,6710,6101,9368,,54.9,7.1,20.1,9.9,0.1,80,39.2,6.8,47.9,,8.1,4.5,1.2,0.1,20,8.6,0.8,10.9,,1.1,19,27,37
95-OQN,Armagh Banbridge And Craigavon,93,70,0,5915,8005,11513,17531,18103,,70.6,9.2,21.5,14,0.1,80,42.5,9.1,49.2,,9.8,4.2,1.2,0,20,9.5,0.9,11.2,,1.1,7,11,16
95-PR,Newry Mourne And Down,93,63,0,5805,6030,8634,14382,15648,,58.6,8.6,22,15.4,0.2,80,41.1,9,48.8,,10,4.4,1.2,0,20,9.1,0.9,11.1,,1.1,10,17,24
95-SY,Lisburn And Castlereagh,95,82,0,3383,6033,7872,8499,19680,<4,64.4,9.3,30.2,19.5,0.1,330,51.7,7.8,58,<4,8.9,4.9,1.3,0,30,8.6,0.9,9.7,<4,1.1,2,5,9
95-TU,Antrim And Newtownabbey,96,82,0,2851,4994,7824,11882,17705,<4,69.8,9.4,30.5,18.3,0.1,330,56,9.5,62.1,<4,10.3,4.2,1.3,0,30,8.2,1,9.1,<4,1.1,3,6,9
95-WX,North Down And Ards,97,83,0,2897,6492,9542,13621,20246,,59.9,9.4,25.7,17.5,0.1,152,46.4,9.5,50.7,,10.2,5,1.3,0,20,10.1,1,11.2,,1.2,2,4,7
95-Z,Belfast,98,97,0,3172,7355,14581,27914,63121,,81.1,10.2,42.6,30,0.1,152,64.3,10.9,68.7,,11.6,4.3,2,0,20,6.5,1,6.9,,1.2,0,0,1
